country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0.0,0.0,0.0,0.0,AS
Albania,89.0,132.0,54.0,4.9,EU
Algeria,25.0,0.0,14.0,0.7,AF
Andorra,245.0,138.0,312.0,12.4,EU
Angola,217.0,57.0,45.0,5.9,AF
Antigua & Barbuda,102.0,128.0,45.0,4.9,NA
Argentina,193.0,25.0,221.0,8.3,SA
Armenia,21.0,179.0,11.0,3.8,EU
Australia,261.0,72.0,212.0,10.4,OC
Austria,279.0,75.0,191.0,9.7,EU
Azerbaijan,21.0,46.0,5.0,1.3,EU
Bahamas,122.0,176.0,51.0,6.3,NA
Bahrain,42.0,63.0,7.0,2.0,AS
Bangladesh,0.0,0.0,0.0,0.0,AS
Barbados,143.0,173.0,36.0,6.3,NA
Belarus,142.0,373.0,42.0,14.4,EU
Belgium,295.0,84.0,212.0,10.5,EU
Belize,263.0,114.0,8.0,6.8,NA
Benin,34.0,4.0,13.0,1.1,AF
Bhutan,23.0,0.0,0.0,0.4,AS
Bolivia,167.0,41.0,8.0,3.8,SA
Bosnia-Herzegovina,76.0,173.0,8.0,4.6,EU
Botswana,173.0,35.0,35.0,5.4,AF
Brazil,245.0,145.0,16.0,7.2,SA
Brunei,31.0,2.0,1.0,0.6,AS
Bulgaria,231.0,252.0,94.0,10.3,EU
Burkina Faso,25.0,7.0,7.0,4.3,AF
Burundi,88.0,0.0,0.0,6.3,AF
Cote d'Ivoire,37.0,1.0,7.0,4.0,AF
Cabo Verde,144.0,56.0,16.0,4.0,AF
Cambodia,57.0,65.0,1.0,2.2,AS
Cameroon,147.0,1.0,4.0,5.8,AF
Canada,240.0,122.0,100.0,8.2,NA
Central African Republic,17.0,2.0,1.0,1.8,AF
Chad,15.0,1.0,1.0,0.4,AF
Chile,130.0,124.0,172.0,7.6,SA
China,79.0,192.0,8.0,5.0,AS
Colombia,159.0,76.0,3.0,4.2,SA
Comoros,1.0,3.0,1.0,0.1,AF
Congo,76.0,1.0,9.0,1.7,AF
Cook Islands,0.0,254.0,74.0,5.9,OC
Costa Rica,149.0,87.0,11.0,4.4,NA
Croatia,230.0,87.0,254.0,10.2,EU
Cuba,93.0,137.0,5.0,4.2,NA
Cyprus,192.0,154.0,113.0,8.2,EU
Czech Republic,361.0,170.0,134.0,11.8,EU
